7903281	23443
7903294	64645
7903308	54482
7903321	8634
7903334	8556
7903355	54112
7903358	7412
7903369	148867
7903393	1901
7903401	94236
7903404	55599
7903407	55599///280
7903414	280///279///278///277///276
7903425	280///279///278///277///276
7903440	280///279///278///277///276
7903457	55170
7903461	22854
7903478	653149///148545
7903490	653149///148545
7903507	284611
7903519	55119
7903530	163479
7903541	6814
7903561	642864
7903565	29899
7903582	6139
7903586	56900
7903592	57535
7903619	6301
7903632	1952
7903667	284612
7903676	127002
7903688	284613
7903694	83873
7903703	2773
7903717	406974
7903719	271
7903742	2948///2946
7903753	2946
7903765	2944
7903777	2949
7903786	1435
7903803	10768
7903827	85369
7903851	164153
7903854	388662
7903867	3749
7903878	64783
7903884	84432
7903893	963
7903908	10390
7903920	1117
7903935	149620
7903945	27159
7903959	128344
7903972	515
7903980	128346
7903988	5906
7904000	11218
7904018	55917
7904025	7482
7904036	829
7904050	4343
7904073	284467
7904084	246182
7904086	9860
7904106	260425
7904131	64858
7904137	204851
7904158	56944
7904168	6847
7904203	7252
7904211	81839
7904226	55356
7904244	126868
7904254	476
7904287	914
7904293	5738
7904303	9398
7904314	8458
7904340	10905
7904361	54855
7904364	10885
7904396	51179
7904408	3284
7904414	3283
7904421	3283
7904429	128102
7904433	26227
7904452	729533///728833///653820
7904465	440689///337875
7904469	23380
7904478	51152
7904482	23380
7904486	101060226///100132406///728841///400818///55672///25832
7904506	100288142///100132406///400818///55672
7904562	100288142///100132406
7904569	100288142
7904574	101060226///100288142///100132406///728841///400818///284565///200030///149013///55672///25832///101060226///100288142///728841///400818
7904695	9554
7904702	388677///4853
7904717	148738
7904726	10628
7904737	284615
7904742	128077
7904751	9939
7904755	8799
7904761	8515
7904796	148741
7904812	10401
7904830	27246
7904843	5174
7904853	653519///51463
7904869	81926
7904874	101060226///100288142///100132406///728841///400818///284565///200030///55672///25832///101060226///100288142///728841///400818
7904881	171423///2923
7904883	9557
7904907	607
7904927	2703
7904930	653519///51463
7904948	81926
7904969	81552
7904974	767846
7904976	100288142///400818///284565///200030///55672///101060226///100288142///728841///400818
7904997	653505///644591
7904999	100288142///100132406///400818///284565///200030///55672///101060226///100288142///728841///400818
7905016	653505///644591
7905018	642691
7905020	1816
7905025	1816
7905028	654342///645166
7905047	100132417///2210///2209
7905051	653505///644591
7905060	100132417///2210///2209
7905067	554313///8370
7905079	723790///8338///8337
7905085	653604///333932///126961
7905088	8338
7905092	51027
7905099	11311
7905116	51177
7905131	23632
7905147	79630
7905154	148523
7905163	54460
7905171	9129
7905185	23248
7905198	80222
7905220	1893///1893
7905233	54507
7905258	9869
7905283	55793///8416
7905299	58497
7905308	149428
7905324	54964///54964
7905329	10962
7905339	126626
7905349	79626
7905355	79005
7905365	8394
7905374	5710
7905382	57592
7905395	5692
7905406	57530
7905428	7286
7905444	81609
7905464	284485
7905474	51686
7905483	254910
7905486	54544
7905490	353144
7905492	353143
7905496	388699
7905500	353141
7905503	353140
7905505	26239
7905507	353139
7905510	199834
7905512	100129271
7905515	448834
7905517	353137
7905519	353135
7905523	353134
7905525	353132
7905528	353131
7905530	4184
7905533	3713
7905536	163778
7905544	6698
7905548	6707
7905553	6699
7905559	149018
7905563	4014
7905571	6280
7905576	338324
7905581	6271
7905589	26097
7905598	23557
7905606	4881
7905631	65123///65123
